Unnamed: 0,SVM,RF,GB,Arquivo,Dataset,Imputer,Métrica
3,0.7721518987341772,0.810126582278481,0.810126582278481,hosp2_KNN_sen.csv,2,KNN,Recall
4,0.7974683544303798,0.7848101265822784,0.810126582278481,hosp2_KNN_sen.csv,2,KNN,Recall
0,0.5,0.6666666666666666,0.6666666666666666,hosp1_LPMD2_sen.csv,1,LPMD2,Recall
1,0.5714285714285714,0.5714285714285714,0.4285714285714285,hosp1_LPMD2_sen.csv,1,LPMD2,Recall
2,0.5714285714285714,0.7142857142857143,0.8571428571428571,hosp1_LPMD2_sen.csv,1,LPMD2,Recall
3,0.7142857142857143,0.8571428571428571,0.8571428571428571,hosp1_LPMD2_sen.csv,1,LPMD2,Recall
4,0.6666666666666666,0.8333333333333334,0.5,hosp1_LPMD2_sen.csv,1,LPMD2,Recall
0,0.8687202322698505,0.8340510210739219,0.8298916943955111,hosp2_Mean_auc.csv,2,Mean,AUC
1,0.832903329839555,0.8470531323067001,0.828928485043941,hosp2_Mean_auc.csv,2,Mean,AUC
2,0.8530274933483833,0.846069499314682,0.8514391679432396,hosp2_Mean_auc.csv,2,Mean,AUC
3,0.8321776989438039,0.8646375876803999,0.8641296460533743,hosp2_Mean_auc.csv,2,Mean,AUC
4,0.8516326695154397,0.8527614286866081,0.8262517132951703,hosp2_Mean_auc.csv,2,Mean,AUC
0,0.7446808510638298,0.4468085106382978,0.5212765957446809,hosp1_LPMD2_spe.csv,1,LPMD2,Specificity
1,0.7634408602150538,0.7311827956989247,0.6021505376344086,hosp1_LPMD2_spe.csv,1,LPMD2,Specificity
2,0.7526881720430108,0.5161290322580645,0.3978494623655914,hosp1_LPMD2_spe.csv,1,LPMD2,Specificity
3,0.7204301075268817,0.4516129032258064,0.3440860215053763,hosp1_LPMD2_spe.csv,1,LPMD2,Specificity
4,0.6021505376344086,0.4946236559139785,0.7634408602150538,hosp1_LPMD2_spe.csv,1,LPMD2,Specificity
0,0.7819148936170213,0.7588652482269503,0.6187943262411348,hosp1_MICE_auc.csv,1,MICE,AUC
1,0.6881720430107526,0.642089093701997,0.4754224270353303,hosp1_MICE_auc.csv,1,MICE,AUC
2,0.7296466973886329,0.706605222734255,0.7665130568356375,hosp1_MICE_auc.csv,1,MICE,AUC
3,0.7542242703533026,0.7680491551459293,0.6789554531490015,hosp1_MICE_auc.csv,1,MICE,AUC
4,0.6218637992831542,0.7302867383512546,0.7060931899641576,hosp1_MICE_auc.csv,1,MICE,AUC
0,0.7436672573751694,0.7971437506515167,0.7830188679245282,hosp3_KNN_auc.csv,3,KNN,AUC
1,0.7235484207234442,0.7372563327426248,0.6841968101740854,hosp3_KNN_auc.csv,3,KNN,AUC
2,0.7158905551170744,0.7209681662720338,0.7440147329650091,hosp3_KNN_auc.csv,3,KNN,AUC
3,0.7270964360587002,0.7426624737945493,0.7251572327044025,hosp3_KNN_auc.csv,3,KNN,AUC
4,0.7745807127882599,0.7589622641509434,0.7736897274633124,hosp3_KNN_auc.csv,3,KNN,AUC
0,0.6595744680851063,0.6382978723404256,0.4574468085106383,hosp1_KNN_spe.csv,1,KNN,Specificity
1,0.7096774193548387,0.7526881720430108,0.6451612903225806,hosp1_KNN_spe.csv,1,KNN,Specificity
2,0.7204301075268817,0.6881720430107527,0.6666666666666666,hosp1_KNN_spe.csv,1,KNN,Specificity
3,0.6559139784946236,0.5806451612903226,0.5376344086021505,hosp1_KNN_spe.csv,1,KNN,Specificity
4,0.6666666666666666,0.6774193548387096,0.6666666666666666,hosp1_KNN_spe.csv,1,KNN,Specificity
0,0.7862595419847328,0.787531806615776,0.7646310432569975,hosp2_Mean_spe.csv,2,Mean,Specificity
1,0.7859872611464969,0.7630573248407644,0.7515923566878981,hosp2_Mean_spe.csv,2,Mean,Specificity
2,0.7414012738853503,0.7375796178343949,0.7490445859872611,hosp2_Mean_spe.csv,2,Mean,Specificity
3,0.7834394904458599,0.7681528662420383,0.7885350318471338,hosp2_Mean_spe.csv,2,Mean,Specificity
4,0.780891719745223,0.756687898089172,0.7388535031847133,hosp2_Mean_spe.csv,2,Mean,Specificity
0,0.859626802374894,0.8278364976838258,0.819925621452339,hosp2_KNN_auc.csv,2,KNN,AUC
1,0.8287833588647907,0.8429250987664275,0.836668547931952,hosp2_KNN_auc.csv,2,KNN,AUC
2,0.844739176005805,0.8460614367491736,0.8319841973716037,hosp2_KNN_auc.csv,2,KNN,AUC
3,0.8607191808433444,0.8625413206482303,0.855446263000887,hosp2_KNN_auc.csv,2,KNN,AUC
4,0.8542691284366686,0.8393291945497057,0.8292671127952915,hosp2_KNN_auc.csv,2,KNN,AUC
0,0.625,0.8333333333333334,0.7083333333333334,hosp4_Mean_spe.csv,4,Mean,Specificity
1,0.8333333333333334,0.8333333333333334,0.875,hosp4_Mean_spe.csv,4,Mean,Specificity
2,0.4583333333333333,0.5,0.5833333333333334,hosp4_Mean_spe.csv,4,Mean,Specificity
3,0.5652173913043478,0.6086956521739131,0.6521739130434783,hosp4_Mean_spe.csv,4,Mean,Specificity
4,0.5652173913043478,0.5217391304347826,0.3478260869565217,hosp4_Mean_spe.csv,4,Mean,Specificity
0,0.7375690607734807,0.789117064526217,0.7937037423121027,hosp3_MICE_auc.csv,3,MICE,AUC
1,0.7406963410820391,0.7419472532054624,0.7054623162722818,hosp3_MICE_auc.csv,3,MICE,AUC
2,0.7121810049986845,0.7370691923178111,0.7739542225730072,hosp3_MICE_auc.csv,3,MICE,AUC
3,0.7454926624737945,0.739727463312369,0.729769392033543,hosp3_MICE_auc.csv,3,MICE,AUC
4,0.77520964360587,0.7654088050314466,0.7950733752620545,hosp3_MICE_auc.csv,3,MICE,AUC
0,0.8461538461538461,0.5384615384615384,0.5384615384615384,hosp4_Mean_sen.csv,4,Mean,Recall
1,0.6153846153846154,0.6153846153846154,0.5384615384615384,hosp4_Mean_sen.csv,4,Mean,Recall
2,0.5384615384615384,0.6923076923076923,0.7692307692307693,hosp4_Mean_sen.csv,4,Mean,Recall
3,0.7142857142857143,0.7142857142857143,0.5,hosp4_Mean_sen.csv,4,Mean,Recall
4,0.7142857142857143,0.5714285714285714,0.5714285714285714,hosp4_Mean_sen.csv,4,Mean,Recall
0,0.7358156028368794,0.7730496453900709,0.5159574468085106,hosp1_SAEI_auc.csv,1,SAEI,AUC
1,0.685099846390169,0.6236559139784946,0.4639016897081413,hosp1_SAEI_auc.csv,1,SAEI,AUC
2,0.7473118279569892,0.6482334869431644,0.6213517665130568,hosp1_SAEI_auc.csv,1,SAEI,AUC
3,0.7403993855606759,0.6927803379416282,0.5998463901689708,hosp1_SAEI_auc.csv,1,SAEI,AUC
4,0.6702508960573477,0.7132616487455198,0.6120071684587813,hosp1_SAEI_auc.csv,1,SAEI,AUC
0,0.6914893617021277,0.6702127659574468,0.5106382978723404,hosp1_Mean_spe.csv,1,Mean,Specificity
